,New World Albany,New World Birkenhead,New World Botany,New World Browns Bay,New World Devonport,New World Eastridge,New World Green Bay,New World Hobsonville,New World Howick,New World Long Bay,New World Metro Shore City,New World Metro Queen St,New World Milford,New World Mt Albert,New World Mt Roskill,New World New Lynn,New World Newmarket,New World Ormiston,New World Papakura,New World Papatoetoe,New World Point Chevalier,New World Remuera,New World Southmall,New World Stonefields,New World Victoria Park,Pak 'n Save Albany,Pak 'n Save Botany,Pak 'n Save Clendon,Pak 'n Save Glen Innes,Pak 'n Save Highland Park,Pak 'n Save Henderson,Pak 'n Save Lincoln Road,Pak 'n Save Mangere,Pak 'n Save Manukau,Pak 'n Save Mt Albert,Pak 'n Save Ormiston,Pak 'n Save Papakura,Pak 'n Save Royal Oak,Pak 'n Save Sylvia Park,Pak 'n Save Wairau Road,Pak 'n Save Westgate,Four Square Botany Junction,Four Square Britomart,Four Square Cockle Bay,Four Square Eden Terrace,Four Square Ellerslie,Four Square Fair Price Henderson,Four Square Glen Eden,Four Square Hobsonville,Four Square Lancaster,Four Square Onehunga,Four Square Remuera,Four Square Pakuranga Heights,Four Square St Heliers,Four Square Torbay,Warehouse
Pak 'n Save Wairau Road,772.08,775.29,2692.34,969.73,1460.13,2132.85,2402.44,1094.56,2848.64,1158.95,558.95,1222.46,351.51,1532.74,1963.39,2192.05,1324.14,2864.05,3268.44,2485.65,1494.22,1568.81,2782.34,1959.51,1073.88,729.58,2693.48,3256.36,2434.62,2650.27,2129.24,1677.03,2679.31,2439.85,1737.03,2907.67,3187.18,1828.64,1943.59,0,1364.51,2737.6,1247.48,3033.75,1541.56,1613.86,1879.49,2647.4,1139.03,718.94,1919.32,1693.99,2421.88,2483.35,1214.81,2088.07
Pak 'n Save Westgate,1362.03,2083.91,2985.93,1559.68,2482.63,2426.44,1944.67,530.03,3142.22,1748.89,1810.07,1699.3,1549.46,1404.07,1505.62,1507.77,1617.72,3157.64,3562.02,2535.82,1118.48,1862.4,3075.93,2253.1,1658.29,1319.52,2987.07,2959.12,2728.21,2943.86,1126.47,674.27,2221.54,2733.44,1415.84,3201.25,3480.77,1819,2237.18,1426.16,0,3031.18,1734.62,3327.34,1467.05,1907.45,876.73,1644.63,574.5,1731.89,1810.75,1987.58,2715.47,2776.94,1804.75,1630.31
Four Square Botany Junction,3161.44,2675.5,466.52,3359.09,3396.08,2096.24,2431.41,3150.21,996.62,3548.3,2723.52,1933.86,2926.98,2104.98,1835.34,2354.65,1669.66,204.93,1349.89,717.73,2066.46,1637.61,863.79,1556.91,2014.38,3118.93,533.83,1313.64,1861.52,1020.99,2969.12,2699.78,1288.88,440.38,2104.24,248.54,1268.64,1715.47,1127.28,2756.81,2911.11,0,2009.06,1023.25,1749.4,1357.44,2902.25,2816.19,3194.68,2986.55,1648.19,1621.61,910.95,2102.34,3604.16,1960.03
Four Square Britomart,1656.84,1170.9,1985.77,1854.49,1891.48,974.37,1726.85,1902.39,2142.06,2043.71,1218.92,101.21,1422.38,857.15,1287.8,1516.46,617.56,2157.48,2561.86,1779.07,818.63,862.24,2075.76,1252.94,381.71,1614.34,1986.91,2549.79,1387.12,1943.7,1721.3,1451.96,2003.72,1733.28,1061.44,2201.09,2480.61,1122.07,1237.02,1252.21,1663.29,2031.02,0,2327.18,573.27,907.28,1654.42,1884.36,1946.85,1481.95,1212.74,987.42,1715.31,1205.42,2099.56,1412.48
Four Square Cockle Bay,3470.6,2984.66,566.59,3668.25,3705.24,2022.29,3283.84,3459.37,217.99,3857.47,3032.68,2243.02,3236.14,2414.14,2844.78,3073.44,1978.82,1076.63,2288.84,1592.7,2375.62,1946.77,1802.75,1587.64,2323.54,3428.1,496.4,2252.59,1691.82,438.78,3278.28,3008.95,2227.84,1379.33,2618.42,1120.24,2207.59,2024.64,1425.05,3065.97,3220.28,970.27,2318.22,0,2058.57,1666.6,3211.41,3441.35,3503.84,3295.71,1878.82,1930.77,783.87,1952.63,3913.32,2969.47
Four Square Eden Terrace,2052.16,1566.22,1790.91,2249.81,2286.8,1231.42,1442.53,1618.06,1947.21,2439.03,1614.24,454.04,1817.7,572.83,1003.47,1232.13,422.71,1962.63,2367.01,1584.22,534.31,667.38,1880.91,1058.08,536.43,2009.66,1792.05,2354.93,1533.19,1748.84,1436.97,1167.64,1719.39,1538.43,777.11,2006.24,2285.75,808.41,1042.16,1647.53,1378.97,1836.17,584.77,2132.32,0,712.43,1370.1,1600.04,1662.53,1877.27,1017.89,792.56,1520.45,1581.92,2494.88,1128.16
Four Square Ellerslie,2216.77,1730.83,1317.78,2414.42,2451.41,896.92,2030,2205.54,1474.08,2603.63,1778.85,989.19,1982.31,1160.31,1590.95,1819.61,724.99,1489.49,1893.88,1111.09,1121.79,443.26,1407.78,433.17,1069.71,2174.26,1318.92,1881.8,908.28,1275.71,2024.45,1755.11,1857.04,1065.29,1364.59,1533.11,1812.62,613.74,569.03,1812.14,1966.44,1363.04,1064.39,1659.19,804.73,0,1957.57,2187.51,2250.01,2041.88,581.03,288.05,1047.32,957.01,2659.49,1715.64
Four Square Fair Price Henderson,1878.47,2357.23,3008.92,2076.12,2999.07,2449.43,1561.28,1046.48,3165.22,2265.34,2326.51,1722.29,2065.91,1427.06,1528.61,1530.76,1640.71,3180.63,3585.02,2558.81,1141.47,1885.39,3098.92,2276.09,1681.28,1835.97,3010.06,2982.11,2751.2,2966.85,402.91,242.15,2244.53,2756.43,1438.84,3224.25,3503.76,1841.99,2260.17,1942.6,807.38,3054.18,1757.61,3350.33,1490.05,1930.44,0,1082.66,1090.94,2248.33,1833.74,2010.57,2738.46,2799.93,2321.19,1653.3
Four Square Glen Eden,2657.16,2651.27,3302.96,2854.81,3371.86,2743.47,615.77,1825.17,3459.26,3044.03,2699.3,2016.33,2844.6,1363.74,1246.84,669.98,1934.76,3168.88,3352.35,2463.76,1315.51,2179.44,2866.25,2570.14,1975.32,2614.66,3304.1,2887.07,3045.24,3260.9,770.71,1135.67,2149.49,2624.84,1024.89,3212.49,3271.09,1746.95,2554.21,2721.29,1586.07,3042.42,2051.65,3644.38,1784.09,2224.48,1074.41,0,1869.64,3027.02,1738.7,2304.61,3032.5,3093.97,3099.88,1311.42
Four Square Hobsonville,1170.66,1892.54,3176.9,1368.31,2291.26,2617.41,2135.65,52.05,3333.2,1557.53,1618.7,1890.27,1358.1,1595.04,1696.59,1698.74,1808.7,3348.62,3753,2726.79,1309.46,2053.38,3266.9,2444.07,1849.26,1128.16,3178.04,3150.1,2919.18,3134.84,1317.45,865.24,2412.51,2924.42,1606.82,3392.23,3671.74,2009.98,2428.15,1234.8,552.72,3222.16,1925.59,3518.31,1658.03,2098.42,1067.7,1835.61,0,1540.53,2001.73,2178.55,2906.44,2967.91,1613.39,1821.28
